Source,Category,Num_Devices,Devices
D1,D1_only,17,Allure Speaker_Mon(uk)|Bose Sound Touch10_YT|Canary_YT|Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Gosound Plug_IoTLifeCycle|Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us)|Lenovo Camera_IoTLifeCycle|Sonos_YT|Zmodo Doorbell_IoTLS|Zmodo Doorbell_Mon(us)
D1,D1_only,17,Chamberlain myq Garage Opener_YT|Drop Camera_UNSW|LIFX Bulb_YT|LiFX Bulb_UNSW|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Guard_YT|Nest Protect smoke alarm_UNSW|Nest Protect smoke alarm_YT|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1,D1_only,15,Aqara Light_IoTLifeCycle|Aqara Plug_IoTLifeCycle|Bull Plug_IoTLifeCycle|Hongyar Plug_IoTLifeCycle|Hue Switch_IoT-Sentinel|Magic Home Strip_Mon(uk)|Magic Home Strip_Mon(us)|Midea Light_IoTLifeCycle|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle|Tianmao Speaker_IoTLifeCycle|Tuya Plug_IoTLifeCycle|Tuya Sensor_IoTLifeCycle|Yingshi Camera_IoTLifeCycle|deebot_cleaner_IoTLifeCycle
D1,D1_only,15,Shuixing Camera_IoTLifeCycle|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link Camera_IoTLifeCycle|TP-Link Day Night Cloud camera_UNSW|TP-Link Doorbell_IoTLifeCycle|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT
D1,D1_only,13,Allure Speaker_Mon(uk)|Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us)|Samsung Dryer_IoTLS|Samsung Dryer_Mon(us)|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Samsung SmartCam_UNSW|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us)
D1,D1_only,13,Mijia Humidifier_IoTLifeCycle|Mijia Plug_IoTLifeCycle|Mijia Plugtwo_IoTLifeCycle|Xiaomi Camera3_IoTLifeCycle|Xiaomi Camera_IoTLifeCycle|Xiaomi Camera_Mon(uk)|Xiaomi Cleaner_Mon(uk)|Xiaomi Cleaner_Mon(us)|Xiaomi Ricecooker_Mon(us)|Xiaomi Sound_IoTLifeCycle|Xiaomi Speaker_IoTLifeCycle|Xiaomi Strip_Mon(us)|xiaomitv_speaker_IoTLifeCycle
D1,D1_only,12,Aqara Light_IoTLifeCycle|Aqara Plug_IoTLifeCycle|Lecheng Camera_IoTLifeCycle|Midea Light_IoTLifeCycle|Tuya Plug_IoTLifeCycle|Tuya Sensor_IoTLifeCycle|Xiaodu Clock_IoTLifeCycle|Xiaodu Plug_IoTLifeCycle|Xiaodu Sensor_IoTLifeCycle|Yingshi Camera_IoTLifeCycle|deebot_cleaner_IoTLifeCycle|xiaodu_speaker_IoTLifeCycle
D1,D1_only,12,Bull Plug_IoTLifeCycle|Dalen Light_IoTLifeCycle|Hongyar Plug_IoTLifeCycle|Honorxiaotun Camera_IoTLifeCycle|Huawei Camera_IoTLifeCycle|Huawei Sound_IoTLifeCycle|Huaweizhengtai Plug_IoTLifeCycle|Midea Light_IoTLifeCycle|Pisen Camera_IoTLifeCycle|Xiaotun Camera_IoTLifeCycle|deebot_cleaner_IoTLifeCycle|huawei_tv_IoTLifeCycle
D1,D1_only,12,Allure Speaker_Mon(uk)|Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_IoTLS|Apple TV_Mon(uk)|Apple TV_Mon(us)|Apple home Pod_IoTLS|Bose Sound Touch10_YT|Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us)|Sonos_YT
D1,D1_only,10,HoneyWell Thermostat_Mon(uk)|LIFX Bulb_YT|LiFX Bulb_UNSW|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT
D1,D1_only,7,Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Logitech Logi Circle_YT
D1,D1_only,7,Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Sansung Fridge_Mon(us)|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1,D1_only,6,Bose Sound Touch10_YT|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT
D1,D1_only,6,Chamberlain myq Garage Opener_YT|Ring Doorbell_Mon(uk)|Ring Doorbell_Mon(us)|Ring Doorbell_Our|Ring Doorbell_Our2|Ring Doorbell_YT
