Cluster_ID,Num_Vendors,Num_Devices,Num_Components,Superset_Count,Vendors,Devices,Device_Types
D3_C0009,2,3,1,3,amazon|unknown,Amazon Echo Gen1_Mon(us)|Amazon Fire TV_Mon(us)|Cloud Camera_Mon(us),Camera|Speaker|TV
D3_C0032,3,3,1,2,jooan|konka|pisen,Konka Camera_selfdata|Pisen Camera_selfdata|Qiaoan Camera_selfdata,Camera
D3_C0036,2,3,1,3,amazon|unknown,Amazon Echo Gen3_Mon(us)|Amazon Fire TV_Mon(us)|Cloud Camera_Mon(us),Camera|Speaker|TV
D3_C0001,2,2,1,4,amazon|unknown,Amazon Echo Gen1_Mon(us)|Cloud Camera_Mon(us),Camera|Speaker
D3_C0006,2,2,2,2,amazon|nvidia,Amazon Fire TV_YT|nVidia Shield_YT,TV
D3_C0010,2,2,1,5,amazon|unknown,Amazon Fire TV_Mon(us)|Cloud Camera_Mon(us),Camera|TV
D3_C0014,2,2,3,4,roku|yi,Roku TV_IoTLS|Yi Camera_IoTLS,Camera|TV
D3_C0017,2,2,1,1,harman kardon|sonos,Harmon Kardon Invoke_YT|Sonos_YT,Speaker
D3_C0018,2,2,2,2,august|samsung,August Doorbell Camera_YT|Samsung Smart TV_YT,Doorbell|TV
D3_C0020,2,2,2,2,tenda|xiaobai,Tenda Camera_selfdata|Xiaobai Camera_selfdata,Camera
D3_C0022,2,2,1,4,amazon|unknown,Amazon Echo Gen3_Mon(us)|Cloud Camera_Mon(us),Camera|Speaker
D3_C0027,2,2,5,5,lenovo|midea,Lenovo Camera_selfdata|Midea Speaker_selfdata,Camera|Speaker
D3_C0038,2,2,1,2,huawei|lecheng,Lecheng Camera_selfdata|huawei_tv,Camera|TV
D3_C0039,2,2,1,1,nvidia|samsung,Samsung Smart TV_YT|nVidia Shield_YT,TV
D3_C0047,2,2,3,9,xiaobai|xiaomi,Xiaobai Y2camera_selfdata|Xiaomi Camera_selfdata,Camera
D3_C0074,2,2,6,8,jooan|konka,Konka Camera_selfdata|Qiaoan Camera_selfdata,Camera
D3_C0081,2,2,1,1,huawei|xiaotun,Huawei Sound_selfdata|Xiaotun Camera_selfdata,Camera|Speaker
D3_C0016,2,4,1,1,apple|samsung,Apple home Pod_IoTLS|Samsung Dryer_Mon(us)|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us),Dryer|Fridge|Speaker|Washer
D3_C0026,2,3,1,1,hongyar|tuya,Hongyar Plug_selfdata|Tuya Plug_selfdata|Tuya Sensor_selfdata,Plug|Sensor
D3_C0028,2,3,1,1,amazon|apple,Amazon Fire TV_YT|Apple Home Pod_YT|Apple TV(4thGen)_YT,Speaker|TV
D3_C0071,2,3,1,1,belkin|nvidia,Belkin WeMo Motion Sensor_YT|Belkin WeMo Switch_YT|nVidia Shield_YT,Sensor|Switch|TV
D3_C0003,2,2,3,3,cubetoou|honorxiaotun,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,Camera
D3_C0011,2,2,2,2,bosiwo|lefun,Bosiwo Camera Wired_Mon(uk)|Lefun Camera Wired_Mon(us),Camera
D3_C0013,2,2,1,2,apple|samsung,Apple TV(4thGen)_YT|Samsung Smart TV_YT,TV
D3_C0067,2,2,1,2,hongyar|tuya,Hongyar Plug_selfdata|Tuya Plug_selfdata,Plug
D3_C0073,2,2,1,2,bose|samsung,Bose Sound Touch10_YT|Samsung Smart TV_YT,Speaker|TV
D3_C0058,3,3,1,1,hongyar|tuya|unknown,Hongyar Plug_selfdata|Smartlife Remote_IoTLS|Tuya Sensor_selfdata,Plug|Sensor|Unknown
D3_C0008,2,2,1,1,nest|roku,Nest CamIQ_YT|Roku TV_YT,Camera|TV
D3_C0037,2,2,1,1,apple|huawei,Apple home Pod_IoTLS|Huawei Sound_selfdata,Speaker
D3_C0040,2,2,1,1,roku|sonos,Roku TV_YT|Sonos_YT,Speaker|TV
D3_C0042,2,2,1,1,invoxia|ring,Ring Doorbell_Mon(uk)|Triby Speaker_UNSW,Doorbell|Speaker
D3_C0045,2,2,1,1,tuya|unknown,Smartlife Bulb_IoTLS|Tuya Plug_selfdata,Bulb|Plug
D3_C0054,2,2,1,1,canary|logitech,Canary_YT|Logitech Logi Circle_YT,Camera
D3_C0055,2,2,1,1,360|xiaojingyu,360 Camera_selfdata|Xiaojingyu Clock_selfdata,Camera|Clock
D3_C0057,2,2,1,1,logitech|piper,Logitech Logi Circle_YT|Piper NV_YT,Camera
D3_C0059,2,2,1,1,insteon|samsung,Insteon Camera_UNSW|Samsung Smart TV_Mon(uk),Camera|TV
D3_C0061,2,2,1,1,august|withings,August Doorbell Camera_YT|Withings Home_YT,Camera|Doorbell
D3_C0062,2,2,1,1,insteon|midea,Insteon Camera_UNSW|Midea Speaker_selfdata,Camera|Speaker
D3_C0065,2,2,1,1,dogness|xiaobai,Xiaobai Doorbell_selfdata|duonisi_feeder,Doorbell|Feeder
D3_C0072,2,2,1,1,google|yi,Google Home Mini_YT|Yi Camera_Mon(uk),Camera|Speaker
D3_C0075,2,2,1,1,midea|zte,Midea Speaker_selfdata|Zte Camera_selfdata,Camera|Speaker
D3_C0080,2,2,1,1,flux|unknown,Flux Bulb_Mon(us)|Smart WiFi Plug01_Our2,Bulb|Plug
