Dataset,Campaign,Description,Source,Acquisition_URL,Redistributed,Notes
UNSW,UNSW,"Long-term traffic traces from consumer IoT devices.","UNSW IoT Analytics Platform","https://iotanalytics.unsw.edu.au/unsw-iotraffic.html",No,"Obtain raw traces from the original source and follow its data-use terms."
NCSU,NCSU_2020/NCSU_2021,"Controlled traffic collected from common IoT devices in the USA for IoT device fingerprinting research.","NCSU Privacy Data Hub","https://privacy-datahub.csc.ncsu.edu/publication/ahmed-pets-2021/",No,"Corresponds to the Our and Our2 campaigns used by the pipeline naming convention."
Mon(IoT)r,Mon(IoT)r_US/Mon(IoT)r_UK,"Measurement dataset of information exposure from consumer IoT devices in the USA and UK.","NEU-SNS intl-iot repository / Mon(IoT)r Lab","https://github.com/NEU-SNS/intl-iot",No,"Follow the original repository instructions for data access."
YourThings,YourThings,"Traffic data from home-based IoT deployments.","YourThings Project Website","https://yourthings.info/data/",No,"Use the original portal for available data and metadata."
IoT Sentinel,IoT_Sentinel,"Device-type identification traces for consumer IoT devices.","IoT Sentinel Repository","https://github.com/andypitcher/IoT_Sentinel",No,"Used as one of the public IoT traffic sources."
IoTLS,IoTLS,"TLS usage dataset for consumer IoT devices collected over a multi-year period.","NEU-SNS IoTLS Repository","https://github.com/NEU-SNS/IoTLS",No,"Follow the original data sharing agreement and repository instructions."
IoT LifeCycle,IoT_LifeCycle,"Lifecycle-based traffic traces covering multiple consumer IoT device lifecycle phases.","Lifecycle-Based Traffic Dataset Repository","https://github.com/NKUHack4FGroup/Lifecycle-Based-Traffic-Dataset",No,"Covers lifecycle phases such as setup, idle, interaction, and deletion."
